journal,issn,nlm_id,categories,group
Neuroscience bulletin,1995-8218,101256850,Neurology,general
Neuroscience letters,1872-7972,7600130,Neurology,general
Neuroscience research,1872-8111,8500749,Neurology,general
Neurosciences : the official journal of the Pan Arab Union of Neurological Sciences,1319-6138,101252453,Neurology,general
Neurosurgery,1524-4040,7802914,Neurology,general
Neurosurgery clinics of North America,1558-1349,9008004,Neurology,general
Neurosurgical focus,1092-0684,100896471,Neurology,general
Neurosurgical review,1437-2320,7908181,Neurology,general
Neurotherapeutics : the journal of the American Society for Experimental NeuroTherapeutics,1878-7479,101290381,Neurology,general
Neurotoxicity research,1476-3524,100929017,Neurology,general
Neurotoxicology,1872-9711,7905589,Neurology,general
Neurotoxicology and teratology,1872-9738,8709538,Neurology,general
Neurourology and urodynamics,1520-6777,8303326,Neurology,general
No shinkei geka. Neurological surgery,1882-1251,0377015,Neurology,general
Nutritional neuroscience,1476-8305,100892202,Neurology,general
Operative neurosurgery,2332-4260,101635417,Neurology,general
"Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology",1537-4505,100961504,Neurology,general
Pain,1872-6623,7508686,Neurology,general
Pain management,1758-1877,101555934,Neurology,general
Pain management nursing : official journal of the American Society of Pain Management Nurses,1532-8635,100890606,Neurology,general
Pain medicine : the official journal of the American Academy of Pain Medicine,1526-4637,100894201,Neurology,general
Pain medicine case reports,2768-5152,9918249509106676,Neurology,general
Pain physician,2150-1149,100954394,Neurology,general
Pain practice : the official journal of World Institute of Pain,1533-2500,101130835,Neurology,general
Pain research & management,1918-1523,9612504,Neurology,general
Pediatric neurology,1873-5150,8508183,Neurology,general
Pediatric neurosurgery,1423-0305,9114967,Neurology,general
Perception,1468-4233,0372307,Neurology,general
Perceptual and motor skills,1558-688X,0401131,Neurology,general
Physiology & behavior,1873-507X,0151504,Neurology,general
Practical neurology,1474-7766,101130961,Neurology,general
Progress in brain research,1875-7855,0376441,Neurology,general
Progress in neurobiology,1873-5118,0370121,Neurology,general
Psychiatry and clinical neurosciences,1440-1819,9513551,Neurology,general
Psychiatry research. Neuroimaging,1872-7506,101723001,Neurology,general
Psychoneuroendocrinology,1873-3360,7612148,Neurology,general
Psychophysiology,1469-8986,0142657,Neurology,general
Purinergic signalling,1573-9546,101250499,Neurology,general
Regional anesthesia and pain medicine,1532-8651,9804508,Neurology,general
Restorative neurology and neuroscience,1878-3627,9005499,Neurology,general
Reviews in the neurosciences,2191-0200,8711016,Neurology,general
Revista de neurologia,1576-6578,7706841,Neurology,general
Revue neurologique,0035-3787,2984779R,Neurology,general
Scandinavian journal of pain,1877-8879,101520867,Neurology,general
Seizure,1532-2688,9306979,Neurology,general
Seminars in neurology,1098-9021,8111343,Neurology,general
Seminars in pediatric neurology,1558-0776,9441351,Neurology,general
Sleep & breathing = Schlaf & Atmung,1522-1709,9804161,Neurology,general
Sleep health,2352-7226,101656808,Neurology,general
Sleep medicine clinics,1556-4088,101271531,Neurology,general
Sleep medicine reviews,1532-2955,9804678,Neurology,general
Social cognitive and affective neuroscience,1749-5024,101288795,Neurology,general
Social neuroscience,1747-0927,101279009,Neurology,general
Somatosensory & motor research,1369-1651,8904127,Neurology,general
Spinal cord,1476-5624,9609749,Neurology,general
Spinal cord series and cases,2058-6124,101680856,Neurology,general
Stereotactic and functional neurosurgery,1423-0372,8902881,Neurology,general
Stress : the international journal on the biology of stress,1607-8888,9617529,Neurology,general
Stroke and vascular neurology,2059-8696,101689996,Neurology,general
Synapse,1098-2396,8806914,Neurology,general
The Behavioral and brain sciences,1469-1825,7808666,Neurology,general
The Canadian journal of neurological sciences. Le journal canadien des sciences neurologiques,0317-1671,0415227,Neurology,general
The cerebellum,1473-4230,101089443,Neurology,general
The Clinical journal of pain,1536-5409,8507389,Neurology,general
The Clinical neuropsychologist,1744-4144,8806548,Neurology,general
The European journal of neuroscience,1460-9568,8918110,Neurology,general
The international journal of neuropsychopharmacology,1469-5111,9815893,Neurology,general
The International journal of neuroscience,1563-5279,0270707,Neurology,general
The Journal of comparative neurology,1096-9861,0406041,Neurology,general
The journal of ECT,1533-4112,9808943,Neurology,general
The journal of headache and pain,1129-2377,100940562,Neurology,general
The Journal of nervous and mental disease,1539-736X,0375402,Neurology,general
The Journal of neuropsychiatry and clinical neurosciences,1545-7222,8911344,Neurology,general
The Journal of neuroscience : the official journal of the Society for Neuroscience,1529-2401,8102140,Neurology,general
The Journal of neuroscience nursing : journal of the American Association of Neuroscience Nurses,1945-2810,8603596,Neurology,general
